date,feed,ep_num,title
2019-09-15T04:00:00+00:00,main,235,Porco Rosso with Justin Charity
2019-09-21T04:00:01+00:00,patreon,34,Black Panther with Jamelle Bouie
2019-09-22T04:00:00+00:00,main,236,Princess Mononoke with Griffin McElroy
2019-09-29T04:00:00+00:00,main,237,Spirited Away with David Rees
2019-10-01T04:01:00+00:00,patreon,35,Avengers: Infinity War with John Hodgman
2019-10-06T04:00:00+00:00,main,238,Howl's Moving Castle with David Ehrlich
2019-10-11T04:01:00+00:00,patreon,36,Whisper of the Heart with Ramona Head
2019-10-13T04:00:00+00:00,main,239,Joker
2019-10-20T04:00:00+00:00,main,240,Gemini Man
2019-10-21T04:00:01+00:00,patreon,37,Ant-Man and the Wasp
2019-10-27T04:00:00+00:00,main,241,Ponyo on the Cliff with Shirley Li
2019-11-01T04:00:02+00:00,patreon,38,Captain Marvel with Esther Zuckerman
2019-11-03T04:00:00+00:00,main,242,The Wind Rises
2019-11-07T05:00:00+00:00,main,243,The Kingdom of Dreams and Madness
2019-11-10T05:00:00+00:00,main,244,Caged Heat/ Crazy Mama/ Fighting Mad
2019-11-11T05:00:01+00:00,patreon,39,Walking The Talk 2019: A Funeral For Frames
2019-11-17T05:00:00+00:00,main,245,Citizens Band/ Last Embrace with Justin McElroy 
2019-11-21T05:00:01+00:00,patreon,40,Avengers: Endgame
2019-11-24T05:00:00+00:00,main,246,Melvin and Howard (and Jordan Hoffman)
2019-12-01T05:00:00+00:00,main,247,Swing Shift
2019-12-01T05:01:01+00:00,patreon,41,Spider-Man: Far From Home
2019-12-08T05:00:00+00:00,main,248,Stop Making Sense with Demi Adejuyigbe
2019-12-11T05:00:01+00:00,patreon,42,Swimming to Cambodia with Peter Newman
2019-12-15T05:00:00+00:00,main,249,Something Wild with Scott Aukerman 
2019-12-21T05:00:01+00:00,patreon,43,The Fourth Blank Check Mailbag
2019-12-22T05:00:00+00:00,main,250,The Rise of Skywalker 
2020-01-01T05:01:00+00:00,patreon,44,Solo
